eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
809913,ISC,ISC|MOS-MS,1969,4,16,22,55,40.5,0.52,27.77,35.32,2.627,3.1,90,52,4.7,5.59,0.3
809914,ISC,ISC|MOS-MS,1969,4,16,23,21,6.2,0.52,27.72,35.23,3.3,2.63,,58,4.9,5.59,0.3
809919,ISC,ISC|MOS-MS,1969,4,17,0,54,38.2,0.74,27.83,35.19,5.1,3.898,,55,6.9,5.43,0.3
810143,ISC,ISC|MOS-MS,1969,4,24,14,45,48.8,0.47,28.73,36.35,3.31,4,90,53,5,5.11,0.3
810300,ISC,ISC|MOS-MS,1969,4,30,20,20,32,1.2,28.52,39.12,2.498,2.3,90,8,7.6,5.75,0.3
808511,ISC,ISC|MOS-MS,1969,5,1,18,2,16.4,0.46,27.68,35.41,2.8,2.2,,51,4.2,5.35,0.3
808515,ISC,ISC|MOS-MS,1969,5,1,20,6,45.4,0.81,27.73,35.39,5,3.889,,67,7.4,5.75,0.3
808920,ISC,ISC|MOS-MS,1969,5,14,10,5,17.1,0.49,27.72,35.33,3.2,2.537,,43,4.4,5.43,0.3
808985,ISC,ISC|MOS-MS,1969,5,15,12,5,56.8,0.53,27.73,35.28,3.078,3.7,90,46,5,5.19,0.3
805810,ISC,ISC|MOS-MS,1969,8,14,21,51,5.3,0.53,27.87,39.52,7.02,5.1,90,21,,5.27,0.3
804121,ISC,ISC|MOS-MS,1969,9,4,19,25,26.6,0.71,27.17,35.11,5.2,3.452,,43,6.9,5.59,0.3
803180,ISC,ISC|MOS-MS,1969,10,7,5,9,12,1.3,28.4,39.2,2.41,2.5,90,13,8,5.59,0.3
798506,ISC,ISC|MOS-MS,1970,3,28,21,2,23.5,0.57,29.51,39.21,1.464,1.9,90,18,4.2,7.18,0.3
798530,ISC,ISC|MOS-MS,1970,3,28,23,11,43.4,0.85,29.56,39.15,3,2.156,,31,6.7,5.51,0.3
798533,ISC,ISC|MOS-MS,1970,3,28,23,44,0.1,0.95,29.76,39.07,2.414,3,90,32,7.3,5.67,0.3
798566,ISC,ISC|MOS-MS,1970,3,29,6,56,24.4,0.62,29.74,39.06,1.724,1.9,90,29,4.7,5.67,0.3
798587,ISC,ISC|MOS-MS,1970,3,29,14,37,19.6,0.58,27.83,38.74,3.986,4.2,90,56,6.5,5.19,0.3
798598,ISC,ISC|MOS-MS,1970,3,29,19,11,43,1,29.42,39.14,2.9,3.1,90,22,8.1,5.19,0.3
798623,ISC,ISC|MOS-MS,1970,3,30,7,59,52,1,29.26,39.34,2.831,3.4,90,16,7.9,5.59,0.3
798626,ISC,ISC|MOS-MS,1970,3,30,8,35,18.2,0.62,29.24,39.29,4.466,5,90,36,7.5,5.59,0.3
798642,ISC,ISC|MOS-MS,1970,3,30,16,32,36.5,0.86,29.59,39.09,2.499,2.5,90,30,6.9,5.51,0.3
798648,ISC,ISC|MOS-MS,1970,3,30,20,38,5,1.7,29.62,39.05,4.5,4.8,90,28,14,5.19,0.3
798661,ISC,ISC|MOS-MS,1970,3,31,3,46,51.1,0.38,29.79,39.03,2.2,2.5,90,35,4,5.27,0.3
796197,ISC,ISC|MOS-MS,1970,4,1,15,56,4.6,0.4,29.27,39.32,2.491,2.5,90,35,4.4,5.03,0.3
796419,ISC,ISC|MOS-MS,1970,4,7,17,5,11.9,0.82,29.32,39.34,2.1,2.4,90,33,6.5,5.67,0.3
796516,ISC,ISC|MOS-MS,1970,4,9,10,12,30.4,0.43,29.41,39.11,2.498,2.8,90,34,4.4,5.59,0.3
796767,ISC,ISC|MOS-MS,1970,4,15,16,29,58,1.3,29.3,39.34,3.5,3.7,90,28,11,5.19,0.3
796798,ISC,ISC|MOS-MS,1970,4,16,10,42,22.3,0.56,29.91,39.02,1.554,1.9,90,31,4.3,5.75,0.3
796915,ISC,ISC|MOS-MS,1970,4,19,13,29,36.5,0.76,29.76,39.03,2.066,2.5,90,18,5.7,6.15,0.3
796918,ISC,ISC|MOS-MS,1970,4,19,13,47,35,0.59,29.8,39.03,1.639,1.9,90,24,4.3,6.23,0.3
796988,ISC,ISC|MOS-MS,1970,4,21,7,36,58,1.5,29.9,39.08,4.999,5.1,90,25,13,5.59,0.3
797029,ISC,ISC|MOS-MS,1970,4,22,5,24,6,0.35,29.77,39.02,1.896,2.4,90,37,3.6,5.35,0.3
797054,ISC,ISC|MOS-MS,1970,4,22,18,38,50.1,0.44,29.43,39.08,2.841,3.2,90,48,4.8,4.79,0.3
