# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Mag,Dist,Eps,poe
6.375,165.0,-2.0,0.0
6.375,165.0,0.0,0.0
6.375,165.0,2.0,0.0
6.375,175.0,-2.0,0.0
6.375,175.0,0.0,0.0
6.375,175.0,2.0,0.0
6.375,185.0,-2.0,0.0
6.375,185.0,0.0,0.0
6.375,185.0,2.0,0.0
6.375,195.0,-2.0,0.0
6.375,195.0,0.0,0.0
6.375,195.0,2.0,0.0
6.625,5.0,-2.0,0.0
6.625,5.0,0.0,0.0006099359479
6.625,5.0,2.0,0.0003427153977
6.625,15.0,-2.0,0.0
6.625,15.0,0.0,7.362217394e-05
6.625,15.0,2.0,0.0003567397429
6.625,25.0,-2.0,0.0
6.625,25.0,0.0,0.0
6.625,25.0,2.0,0.003043261711
6.625,35.0,-2.0,0.0
6.625,35.0,0.0,0.0
6.625,35.0,2.0,0.0001034412036
6.625,45.0,-2.0,0.0
6.625,45.0,0.0,0.0
6.625,45.0,2.0,0.0001657601173
6.625,55.0,-2.0,0.0
6.625,55.0,0.0,0.0
6.625,55.0,2.0,4.634927277e-05
6.625,65.0,-2.0,0.0
6.625,65.0,0.0,0.0
6.625,65.0,2.0,4.447060282e-05
6.625,75.0,-2.0,0.0
6.625,75.0,0.0,0.0
6.625,75.0,2.0,5.408173669e-05
6.625,85.0,-2.0,0.0
6.625,85.0,0.0,0.0
6.625,85.0,2.0,5.545631044e-05
6.625,95.0,-2.0,0.0
6.625,95.0,0.0,0.0
6.625,95.0,2.0,4.896064855e-05
6.625,105.0,-2.0,0.0
6.625,105.0,0.0,0.0
6.625,105.0,2.0,4.059255972e-05
6.625,115.0,-2.0,0.0
6.625,115.0,0.0,0.0
6.625,115.0,2.0,3.181315695e-05
6.625,125.0,-2.0,0.0
6.625,125.0,0.0,0.0
6.625,125.0,2.0,2.183363417e-05
6.625,135.0,-2.0,0.0
6.625,135.0,0.0,0.0
6.625,135.0,2.0,1.519849929e-05
6.625,145.0,-2.0,0.0
6.625,145.0,0.0,0.0
6.625,145.0,2.0,1.045514139e-05
6.625,155.0,-2.0,0.0
6.625,155.0,0.0,0.0
6.625,155.0,2.0,7.280995274e-06
6.625,165.0,-2.0,0.0
6.625,165.0,0.0,0.0
6.625,165.0,2.0,4.026208808e-06
6.625,175.0,-2.0,0.0
6.625,175.0,0.0,0.0
6.625,175.0,2.0,4.015510982e-07
6.625,185.0,-2.0,0.0
6.625,185.0,0.0,0.0
6.625,185.0,2.0,0.0
6.625,195.0,-2.0,0.0
6.625,195.0,0.0,0.0
6.625,195.0,2.0,0.0
6.875,5.0,-2.0,0.0
6.875,5.0,0.0,0.0002790950279
6.875,5.0,2.0,0.0001176609659
6.875,15.0,-2.0,0.0
6.875,15.0,0.0,6.149877027e-05
6.875,15.0,2.0,0.0001074146109
6.875,25.0,-2.0,0.0
6.875,25.0,0.0,0.0
6.875,25.0,2.0,0.002037735427
6.875,35.0,-2.0,0.0
6.875,35.0,0.0,0.0
6.875,35.0,2.0,0.0001525785906
6.875,45.0,-2.0,0.0
6.875,45.0,0.0,0.0
